img_emoji;word_count;count_emoji;emotion;tonality;class;clean_text
😱;3;1;fear;negative;5;срочно распространите 😱
😍;5;1;joy;positive;2;так выглядит идеальная комната 😍
❤;3;1;joy;positive;2;отец ютуба ❤
🤍;4;1;no_emotion;positive/negative;3;доброе утро, сэры 🤍
❤;11;1;joy;positive;2;пиши свой знак зодиака, если совпало, идёте в лс ❤️
😍;3;1;joy;positive;2;уже скоро 😍
😯;9;1;surprise;negative;11;тендерлибае сняла маску на своем стриме   максимально непривычно 😯
🥵;7;1;no_emotion;positive/negative;3;дима масленников в дубае   просто икона 🥵
😑;6;1;no_emotion;neutral/skeptical;1;черепашки-ниндзя уже выехали за ним 😑
💔;5;1;sadness;negative;4;это было лучшее время 💔
💔;11;1;sadness;negative;4;уже через 3 дня zenly перестанет работать  последние 3 дня 💔
🤯;11;1;surprise;negative;11;амина дропнула клип, в котором в первый раз сняла маску 🤯
💓;4;1;joy;positive;2;доброе утро, сэры 💓
❤;2;1;joy;positive;2;легендарно ❤
😧;8;1;surprise;negative;11;стас барецкий напал на ивана золо 😧  распространите
🥵;9;1;no_emotion;positive/negative;3;мой принцип простой: вижу дрифт, хочу купить 🥵
💔;10;1;sadness;negative;4;через 4 дня перестанет работать приложение zenly   прощай, легенда 💔
🤭;6;1;no_emotion;neutral/skeptical;1;на это будет интересно посмотреть 🤭
😎;3;1;no_emotion;positive/negative;3;мужчина мечты 😎
🤠;5;1;no_emotion;neutral/skeptical;1;а где оригинал? 🤠
💔;9;1;sadness;negative;4;время, когда у тебя не было никаких проблем 💔
😏;8;1;no_emotion;neutral/skeptical;1;у кого же тогда сбайтил скалли? 😏
😎;3;1;no_emotion;positive/negative;3;братишкин поднялся 😎
🤍;4;1;no_emotion;positive/negative;3;доброе утро, сэры 🤍
😢;3;1;sadness;negative;4;это жизнь 😢
💀;6;1;fear;negative;5;смерть во плоти выглядит так 💀
🥰;9;1;joy;positive;2;берем на заметку советы от умной женщины, фрэнды 🥰
🖤;4;1;sadness;negative;4;доброе утро, сэры 🖤
🤠;8;1;no_emotion;neutral/skeptical;1;ставь +, если делаешь так, как отец 🤠
💙;4;1;no_emotion;positive/negative;3;доброе утро, сэры 💙
😳;11;1;shame;negative;6;эвелон подарил генсухе мазерати 😳  ни*уя у них подарки
😡;7;1;anger;negative;7;что это, если не жиза? 😡
💜;10;1;no_emotion;positive/negative;3;пиши свой знак зодиака, если совпало, идёте в лс 💜
😢;8;1;sadness;negative;4;плохой парень продал свой прош   прощай, легенда 😢
🥵;4;1;no_emotion;positive/negative;3;повезло же майоту 🥵
😎;7;1;no_emotion;positive/negative;3;новые фотографии сына xxxtentacion'a  на деловом 😎
🥰;10;1;joy;positive;2;отправляй через свой няшных телефон своим френдам этот видос 🥰
🖤;4;1;sadness;negative;4;доброе утро, сэры 🖤
🖤;10;1;sadness;negative;4;пиши свой знак зодиака, если совпало, идёте в лс 🖤
❤;8;1;joy;positive;2;бустер набил тату в честь эвелона  братья ❤
😎;2;1;no_emotion;positive/negative;3;шикарные 😎
💙;3;1;no_emotion;positive/negative;3;самое новое 💙
😍;3;1;joy;positive;2;сочный плейлист 😍
💙;3;1;no_emotion;positive/negative;3;освежающий плейлист 💙
😈;4;1;anger;negative;7;свежак этого дня 😈
💣;3;1;surprise;positive/negative;9;шикарный плейлист 💣
💣;3;1;surprise;positive/negative;9;ночные бомбы 💣
😎;4;1;no_emotion;positive/negative;3;самое новое сейчас 😎
💣;5;1;surprise;positive/negative;9;слышал эти бомбы? 💣
🙃;4;1;smile;positive/negative;0;бывает и такое 🙃
🤩;4;1;joy;positive;2;чилаут на ночь 🤩
😎;4;1;no_emotion;positive/negative;3;гоу слушать вместе 😎
💣;3;1;surprise;positive/negative;9;популярное сейчас 💣
😇;3;1;smile;positive/negative;0;проникновенные треки 😇
😎;3;1;no_emotion;positive/negative;3;отвязный плейлист 😎
💙;3;1;no_emotion;positive/negative;3;ночной кайф 💙
💣;5;1;surprise;positive/negative;9;слышал эти бомбы? 💣
💣;3;1;surprise;positive/negative;9;кайфовая ностальгия 💣
💙;3;1;no_emotion;positive/negative;3;просто кайф 💙
💣;4;1;surprise;positive/negative;9;новинки этой пятницы 💣
🤓;3;1;no_emotion;neutral/skeptical;1;просто кайф 🤓
😍;3;1;joy;positive;2;сочный плейлист 😍
🙀;5;1;surprise;positive/negative;9;с добрым утром, подписчики 🙀
🙀;10;1;surprise;positive/negative;9;ты слышал это совсем недавно, а прошло 2 года 🙀
😎;3;1;no_emotion;positive/negative;3;чарующие треки 😎
💣;4;1;surprise;positive/negative;9;свежак этой пятницы 💣
😍;3;1;joy;positive;2;доброе утро 😍
💦;3;1;no_emotion;positive/negative;3;слушают всюду 💦
🖤;4;1;sadness;negative;4;лучшее в 2к23 🖤
😉;3;1;smile;positive/negative;0;популярное сейчас 😉
🖤;4;1;sadness;negative;4;самое лучшее сейчас 🖤
💦;2;1;no_emotion;positive/negative;3;свежачок 💦
💣;3;1;surprise;positive/negative;9;реальные бомбы 💣
💣;3;1;surprise;positive/negative;9;ностальгии пост 💣
🤨;3;1;no_emotion;neutral/skeptical;1;хмм... 🤨
💦;3;1;no_emotion;positive/negative;3;ночной кайф 💦
😎;3;1;no_emotion;positive/negative;3;горячие новинки 😎
💦;3;1;no_emotion;positive/negative;3;горячие треки 💦
😉;4;1;smile;positive/negative;0;новинки этого года 😉
💙;4;1;no_emotion;positive/negative;3;топчики этой ночи 💙
🤯;4;1;surprise;negative;11;слушай и кайфуй 🤯
💦;5;1;no_emotion;positive/negative;3;эти треки просто космос 💦
💦;4;1;no_emotion;positive/negative;3;свежесть этой пятницы 💦
🖤;3;1;sadness;negative;4;ночной кайф 🖤
🙀;3;1;surprise;positive/negative;9;чарующие треки 🙀
😙;3;1;joy;positive;2;доброе утро 😙
😎;3;1;no_emotion;positive/negative;3;просто лучшие 😎
😍;5;1;joy;positive;2;помнишь эти треки? 😍
🙀;3;1;surprise;positive/negative;9;просто кайф 🙀
😍;4;1;joy;positive;2;лучшее в 2к23 😍
😎;3;1;no_emotion;positive/negative;3;шикарно звучат 😎
🖤;3;1;sadness;negative;4;просто кайф 🖤
💣;3;1;surprise;positive/negative;9;просто бомбы 💣
🙀;7;1;surprise;positive/negative;9;и что в этом сложного? 🙀
😍;5;1;joy;positive;2;слышал этот топчик? 😍
🤫;5;1;no_emotion;neutral/skeptical;1;эти треки сносят крышу 🤫
😆;2;1;smile;positive/negative;0;жиза 😆
💦;3;1;no_emotion;positive/negative;3;сочный плейлист 💦
😎;4;1;no_emotion;positive/negative;3;свежак за 2023 😎
😧;5;1;surprise;negative;11;отведаем же пищу богов 😧
🙀;3;1;surprise;positive/negative;9;топ чартов 🙀
😈;3;1;anger;negative;7;шикарный саунд 😈
💣;5;1;surprise;positive/negative;9;эти треки просто разрыв 💣
🙀;3;1;surprise;positive/negative;9;супер сериал 🙀
💦;4;1;no_emotion;positive/negative;3;хиты нашего времени 💦
😈;4;1;anger;negative;7;доброе утро, подписчики 😈
💜;2;1;no_emotion;positive/negative;3;свежак 💜
🙀;4;1;surprise;positive/negative;9;новинки этой пятницы 🙀
😈;3;1;anger;negative;7;сочный плейлист 😈
💣;2;1;surprise;positive/negative;9;шикарные 💣
🙀;3;1;surprise;positive/negative;9;ностальгические мотивы 🙀
😈;4;1;anger;negative;7;лучшее в 2023 😈
💣;5;1;surprise;positive/negative;9;как же они рвут 💣
😎;5;1;no_emotion;positive/negative;3;как же они качают 😎
😈;4;1;anger;negative;7;с добрым утром 😈
🖤;4;1;sadness;negative;4;плейлист в ночи 🖤
💦;3;1;no_emotion;positive/negative;3;самый сок 💦
💙;4;1;no_emotion;positive/negative;3;разрывают все чарты 💙
😨;7;1;fear;negative;5;этим трекам уже почти 3 года 😨
💣;3;1;surprise;positive/negative;9;ночной кайф 💣
🙀;5;1;surprise;positive/negative;9;вспомнишь эти треки? 🙀
💘;3;1;joy;positive;2;горячий саунд 💘
😅;5;1;smile;positive/negative;0;с добрым утром, подписчики 😅
😈;5;1;anger;negative;7;слышал эти треки? 😈
😘;3;1;joy;positive;2;зимний кайф 😘
😍;2;1;joy;positive;2;милота 😍
🙀;5;1;surprise;positive/negative;9;играют во всех клубах 🙀
😎;3;1;no_emotion;positive/negative;3;самое свежее 😎
😨;3;1;fear;negative;5;достойно уважения 😨
😰;2;1;fear;negative;5;изверги 😰
💦;3;1;no_emotion;positive/negative;3;зимний кайф 💦
🙀;3;1;surprise;positive/negative;9;ночной кайф 🙀
🙀;3;1;surprise;positive/negative;9;ночной кайф 🙀
😈;3;1;anger;negative;7;на хайпе 😈
😈;3;1;anger;negative;7;на хайпе 😈
💦;4;1;no_emotion;positive/negative;3;слушай и кайфуй 💦
🙀;5;1;surprise;positive/negative;9;звучат из каждого динамика 🙀
😍;3;1;joy;positive;2;свежий плейлист 😍
😎;3;1;no_emotion;positive/negative;3;слишком круты 😎
😍;3;1;joy;positive;2;самое лучшее 😍
😅;2;1;smile;positive/negative;0;жиза 😅
😹;5;1;smile;positive/negative;0;теперь сам слазить будет 😹
🤪;4;1;no_emotion;positive/negative;3;это шедеврально! 🤪
🥰;3;1;joy;positive;2;душевно поют 🥰
😎;8;1;no_emotion;positive/negative;3;пацанчик душевно зачитывает 😎  (со звуком)
😂;11;1;smile;positive/negative;0;хозяева тролли проверяют смелость домашних котов при помощи картинки кота 😂
😳;2;1;shame;negative;6;неожиданно 😳
😂;4;1;smile;positive/negative;0;вжился в роль 😂
🤓;11;1;no_emotion;neutral/skeptical;1;это собачий инструктор на аляске собирает так собак на тренировку 🤓
😂;4;1;smile;positive/negative;0;вот и познакомились 😂
😂;4;1;smile;positive/negative;0;стрём стриминг сюрстрёмминга 😂
😱;6;1;fear;negative;5;уникальные кадры сверхсекретной боевой техники 😱
🙄;5;1;no_emotion;neutral/skeptical;1;а кролика показать постеснялся 🙄
😎;6;1;no_emotion;positive/negative;3;насколько сильно прическа меняет впечатление 😎
😱;8;1;fear;negative;5;джeйсoн стэйтeм в cyпеpожидaемом фильмe гaя pичи 😱
❤;5;1;joy;positive;2;дядя коля, выздоравливай скорей ❤
😨;6;1;fear;negative;5;+1 к вашим фобиям 😨
😊;3;1;smile;positive/negative;0;добродушные ребята 😊
❤;3;1;joy;positive;2;достойный выбор ❤
😎;9;1;no_emotion;positive/negative;3;подарки на новый год просто так не придут 😎
❤;2;1;joy;positive;2;лучший ❤
🧐;7;1;no_emotion;neutral/skeptical;1;а как прошёл ваш корпоратив? 🧐
😃;5;1;smile;positive/negative;0;лица горожан представили? 😃
😅;9;1;smile;positive/negative;0;момент, после которого больше нельзя ничего вернуть назад 😅
🙈;7;1;no_emotion;neutral/skeptical;1;иногда я отказываюсь верить своим глазам 🙈
😂;6;1;smile;positive/negative;0;да конечно ничего не будет 😂
🤩;10;1;joy;positive;2;никто не думал, что под формой скрывается такое тело 🤩
😃;4;1;smile;positive/negative;0;нужно вызывать экзорциста 😃
😳;10;1;shame;negative;6;это вообще возможно такое на 9 месяце беременности? 😳
☺;9;1;smile;positive/negative;0;вера воронина уже не так скромница из сериала ☺
😊;10;1;smile;positive/negative;0;илья соболев поделился радостной новостью 😊 а какой довольный!
😅;8;1;smile;positive/negative;0;эти фотографии лучше исключить из семейного альбома 😅
😭;9;1;sadness;negative;4;вот мой самый сильный страх!  бедная девушка 😭
😎;8;1;no_emotion;positive/negative;3;цените мужчин, которые стараются для вашей красоты 😎
😁;7;1;smile;positive/negative;0;анжелика варум была еще той штучкой 😁
😅;9;1;smile;positive/negative;0;и вот как теперь мне это развидеть? 😅
😜;8;1;no_emotion;positive/negative;3;вот что прячется под большим задом знаменитостей 😜
😕;8;1;sadness;negative;4;эти отношения брата с сестрой явно настораживают 😕
😱;11;1;fear;negative;5;более странного бюстгалтера я не встречала 😱 носили бы такой?
😆;8;1;smile;positive/negative;0;такую маму бабушки бы точно не поняли 😆
🤪;8;1;no_emotion;positive/negative;3;с таким мужем и врагом не надо 🤪
😳;7;1;shame;negative;6;это что результат грудного вскармливания? 😳
🧐;7;1;no_emotion;neutral/skeptical;1;похоже дава собирается заменить милане отца 🧐
😳;10;1;shame;negative;6;вот это поворот 😳 как оля бузова это переживет?
😇;6;1;smile;positive/negative;0;шикарная идея для красивого маникюра 😇
😳;7;1;shame;negative;6;а что так можно было? 😳
😥;7;1;sadness;negative;4;очень интересно, насколько несчастен этот человек 😥
😅;7;1;smile;positive/negative;0;небольшой подвох который заметят не все 😅
😅;10;1;smile;positive/negative;0;а сейчас квест: найди кота за 15 сек 😅
😅;8;1;smile;positive/negative;0;эти фотографии лучше исключить из семейного альбома 😅
😅;5;1;smile;positive/negative;0;ой как неудобно получилось 😅
🤩;9;1;joy;positive;2;так приятно, что остались еще такие натуральные красотки 🤩
😊;10;1;smile;positive/negative;0;илья соболев поделился радостной новостью 😊 а какой довольный!
☺;5;1;smile;positive/negative;0;как-то неловко получилось☺️
😅;6;1;smile;positive/negative;0;чисто я после новогодних праздников 😅
😅;9;1;smile;positive/negative;0;что делать, чтобы муж давал деньги на шопинг 😅
😂;2;1;smile;positive/negative;0;допекли 😂
😲;8;1;surprise;positive/negative;9;зачем вообще так ходить по дому? 😲
😮;5;1;surprise;positive/negative;9;каждый самовыражается как может 😮
😅;8;1;smile;positive/negative;0;чисто я после недели салатиков с майонезом 😅
😊;8;1;smile;positive/negative;0;мне кажется, оля бузова будет отличной мамочкой 😊
😵;8;1;surprise;negative;11;когда до было намного привлекательней чем после 😵
😉;9;1;smile;positive/negative;0;как выглядели пугачёва и лолита в 1998 году 😉
😅;8;1;smile;positive/negative;0;да что вы знаете о настоящей любви 😅
😅;6;1;smile;positive/negative;0;классная идея подарка на свадьбу 😅
😅;10;1;smile;positive/negative;0;мама дорогая 😅 что это? выглядит очень жутко!
😅;5;1;smile;positive/negative;0;интересно, многим знакомо? 😅
😅;4;1;smile;positive/negative;0;мастера точно поймут 😅
😅;10;1;smile;positive/negative;0;интересно, кто первый заметит, что не так на фото😅
😂;8;1;smile;positive/negative;0;такое можно увидеть только в наших плацкартах 😂
😉;8;1;smile;positive/negative;0;но об этом парням лучше не знать 😉
😅;9;1;smile;positive/negative;0;коротко о том, как девушки собираются на свидания 😅
😅;9;1;smile;positive/negative;0;не все поймут, что не так на фото 😅
😂;7;1;smile;positive/negative;0;лучший твой подарочек - это я 😂
😅;7;1;smile;positive/negative;0;есть один плюс в раннем материнстве 😅
😆;6;1;smile;positive/negative;0;по-моему, она планирует план побега 😆
😅;7;1;smile;positive/negative;0;корпоратив пошел явно не по плану 😅
😏;10;1;no_emotion;neutral/skeptical;1;не все поймут, что не так на этом фото 😏
😃;7;1;smile;positive/negative;0;когда родители просто сияют от счастья 😃
😐;7;1;no_emotion;neutral/skeptical;1;нашла у мужа фото с корпоратива 😐
🖤;6;1;sadness;negative;4;в новой фотосессии 🖤  #girl@nrmusicru
❤;8;1;joy;positive;2;прекрасная суженая machine gun kelly   ❤  #girl@nrmusicru
😅;6;1;smile;positive/negative;0;и   уничтожают броуков 😅  #fun@nrmusicru
🥵;7;1;no_emotion;positive/negative;3;посмотри кого ты потерял   🥵  #girl@nrmusicru
🤫;8;1;no_emotion;neutral/skeptical;1;не играй с  , не вывезешь 🤫  #life@nrmusicru
🤪;8;1;no_emotion;positive/negative;3;касался языка порноактрисы райли рид 🤪  #fun@nrmusicru
😯;11;1;surprise;negative;11;показал свой гардероб   да у меня квартира меньше 😯  #life@nrmusicru
🖤;10;1;sadness;negative;4;с отцом, матерью и сыном   на семейном 🖤  #life@nrmusicru
🥰;7;1;joy;positive;2;с бабулей  на семейном 🥰  #life@nrmusicru
😂;5;1;smile;positive/negative;0;урыл хейтера 😂  #fun@nrmusicru
💔;5;1;sadness;negative;4;архивные фотографии   💔  #photo@nrmusicru
💖;6;1;joy;positive;2;из группы кис-кис 💖  #girl@nrmusicru
😇;3;1;smile;positive/negative;0;😇  #fun@nrmusicru
👻;11;1;fear;positive/negative;14;парни собрались и набили логотип   - haunted family 👻  #life@nrmusicru
😅;9;1;smile;positive/negative;0;это же надо было до такого додуматься.😅
😅;7;1;smile;positive/negative;0;они прям встретили друг друга...😅
😅;9;1;smile;positive/negative;0;это же надо было до такого додуматься...😅
😅;7;1;smile;positive/negative;0;а ему очень даже идет...😅
😅;3;1;smile;positive/negative;0;действительно...😅
😅;8;1;smile;positive/negative;0;как он это себе представляет?!😅
😅;6;1;smile;positive/negative;0;οтзыв который мы заслужили...😅
😅;5;1;smile;positive/negative;0;шоколадный глазик получается...😅
😅;3;1;smile;positive/negative;0;действительно...😅
😅;6;1;smile;positive/negative;0;один в один просто...😅
😅;4;1;smile;positive/negative;0;интересно получилось...😅
😅;4;1;smile;positive/negative;0;действительно сдали...😅
😅;3;1;smile;positive/negative;0;действительно...😅
😅;7;1;smile;positive/negative;0;ну так то он прав...😅
😅;6;1;smile;positive/negative;0;шпак неплохо так вписался...😅
😅;4;1;smile;positive/negative;0;интересно получается...😅
😅;9;1;smile;positive/negative;0;это же надо было до такого додуматься...😅
😅;6;1;smile;positive/negative;0;кажется ему не понравилось...😅
😅;4;1;smile;positive/negative;0;испугался бедняга...😅
😅;6;1;smile;positive/negative;0;это же просто идеально...😅
😅;7;1;smile;positive/negative;0;ну так то по факту...😅
😅;6;1;smile;positive/negative;0;а неплохо он придумал...😅
😅;9;1;smile;positive/negative;0;это же надо было до такого додуматься...😅
😅;7;1;smile;positive/negative;0;а этот парнишка не промах...😅
😅;5;1;smile;positive/negative;0;переиграл и уничтожил...😅
😅;6;1;smile;positive/negative;0;вот это уже интересно...😅
😂;4;1;smile;positive/negative;0;бородатый малыш переросток😂
😅;6;1;smile;positive/negative;0;решила выбрать бюджетный вариант...😅
😁;4;1;smile;positive/negative;0;музей писек видимо 😁
😅;6;1;smile;positive/negative;0;гузеева в своем репертуаре...😅
😍;8;1;joy;positive;2;мария шумакова -  красотка с крутой фигурой 😍
😍;11;1;joy;positive;2;первая армянская модель victoria’s secret - рубина дайан😍
❤;9;1;joy;positive;2;сестра роналду мило поздравила брата с днём рождения ❤
😢;6;1;sadness;negative;4;😢 время не щадит никого...
😭;7;1;sadness;negative;4;что это, если не жиза? 😭
🤔;11;1;no_emotion;neutral/skeptical;1;илон маск иронизирует на тему сбитого китайского шара в сша 🤔
🥺;6;1;sadness;negative;4;он так рассчитывал на вкусняшки 🥺
😤;9;1;anger;negative;7;водила чувствует мой вайб и он начинает шашковать 😤
😍;7;1;joy;positive;2;«один дома» моей мечты 😍
💙;6;1;no_emotion;positive/negative;3;спасибо за все, последний император 💙
💔;9;1;sadness;negative;4;вот так провожали фёдора емельяненко на пенсию! 💔
😤;9;1;anger;negative;7;емельяненко выходит в октагон и он настроен серьезно 😤
🥲;3;1;sadness;positive/negative;13;по факту 🥲
😎;3;1;no_emotion;positive/negative;3;настоящий гангстер 😎
😎;4;1;no_emotion;positive/negative;3;типичная компания парней 😎
🖤;8;1;sadness;negative;4;ghostemane со своей без пяти минут женой 🖤
😍;9;1;joy;positive;2;малой ещё не понимает, насколько легендарна эта фотография 😍
😢;7;1;sadness;negative;4;obladaet высказался о смерти yung trappa 😢
💔;7;1;sadness;negative;4;егор крид о смерти yung trappa 💔
💔;7;1;sadness;negative;4;soda luv почтил память yung trappa 💔
🤍;10;1;no_emotion;positive/negative;3;так выглядит енот альбинос, теперь вы видели немного больше 🤍
😤;5;1;anger;negative;7;ля че отец выдал 😤
😎;10;1;no_emotion;positive/negative;3;😎 ноги роналду и правда стоят таких денег, урыл получается
😭;8;1;sadness;negative;4;это навсегда останется в истории русского рэпа 😭
💔;4;1;sadness;negative;4;покойся с миром 💔
❤;3;1;joy;positive;2;лучший косплей ❤
🥺;11;1;sadness;negative;4;иногда даже банка колы и бутерброд могут сделать человека счастливым 🥺
🥱;7;1;no_emotion;negative;12;не нужны мне больше твои бананы 🥱
💞;11;1;joy;positive;2;💞 сегодня в россии отмечается день нежности  цените свою половинку 🥹
🥺;6;1;sadness;negative;4;zenly трогательно попрощались с аудиторией 🥺
🥱;3;1;no_emotion;negative;12;хэйтеры, откисайте 🥱
🖤;11;1;sadness;negative;4;🖤   — «жизнь»  #премьератрека@rhymes: новый трек!
❤;5;1;joy;positive;2;для дружбы нет границ ❤
💔;7;1;sadness;negative;4;zenly прекратит свою работу уже завтра 💔
🥵;9;1;no_emotion;positive/negative;3;🥵 горячо от насти — девушка big baby tape
😂;7;1;smile;positive/negative;0;когда сынуля полностью пошёл в батю 😂
❤;7;1;joy;positive;2;❤, если непривычно видеть амину без маски
🥲;6;1;sadness;positive/negative;13;в телевизоре ничего не меняется 🥲
💔;9;1;sadness;negative;4;нынешнее поколение и не знает, что это такое 💔
🥰;8;1;joy;positive;2;руки вверх, вы арестованы за чрезмерную малюсенькость 🥰
😁;11;1;smile;positive/negative;0;иноагент morgenshtern рассказал, как в дубае до него докопались фанаты 😁
💯;9;1;no_emotion;positive/negative;3;ну и в чём он не прав? 💯
😳;10;1;shame;negative;6;мэйби бэйби высказалась о кавере амины на её трек 😳
❤;7;1;joy;positive;2;самые добрые, атмосферные рабочие фотографии ❤‍
🤯;6;1;surprise;negative;11;скриптонит и его новый образ 🤯
💞;7;1;joy;positive;2;юлик со своим преданным другом борисом 💞
🙂;4;1;smile;positive/negative;0;было бы славно 🙂
😭;10;1;sadness;negative;4;жизнь — школа, а ты в ней — саша 😭
🙂;7;1;smile;positive/negative;0;кладбище на телефоне выглядит примерно так 🙂
❤;9;1;joy;positive;2;люди спасли котика, который застрял в опасном месте ❤
🤩;9;1;joy;positive;2;новые фото с отдыха димы масленникова в дубае 🤩
🤯;11;1;surprise;negative;11;хасбика выкинули из окна машины, просьба смотреть до конца! 🤯
💔;11;1;sadness;negative;4;zenly, приложение для отслеживания геолокации, перестанет работать через три дня 💔
😎;5;1;no_emotion;positive/negative;3;вот они слева направо 😎
😭;6;1;sadness;negative;4;как это работает?.. 😭
🥺;2;1;sadness;negative;4;мечта 🥺
😯;8;1;surprise;negative;11;мбаппе заценил удар неймара особым выражением лица 😯
❤;11;1;joy;positive;2;юлик выкупил пса бориса, которого даша каплан продала в приют ❤
❤;11;1;joy;positive;2;миша литвин выпустил новый ролик совместно с хазяевами в лабиринте ❤
😭;9;1;sadness;negative;4;как же хочется вернуться в 2005 год.. 😭
💯;4;1;no_emotion;positive/negative;3;хасбулла выдал базу 💯
🥵;3;1;no_emotion;positive/negative;3;шампунь жумайсынба 🥵
💔;7;1;sadness;negative;4;как же жизненно и одновременно грустно 💔
🤩;8;1;joy;positive;2;крутейший косплей на горо из mortal kombat 🤩
💣;3;1;surprise;positive/negative;9;дискотека маруся💣
😈;4;1;anger;negative;7;каспийский груз!😈
😏;5;1;no_emotion;neutral/skeptical;1;ремиксы вам в ленту 😏
❤;4;1;joy;positive;2;её голoc прекрасен❤
😎;4;1;no_emotion;positive/negative;3;топчики этого дня 😎
💣;3;1;surprise;positive/negative;9;взрывают топы 💣
🙀;4;1;surprise;positive/negative;9;кайф, не иначе 🙀
💦;3;1;no_emotion;positive/negative;3;слушают всюду 💦
💜;3;1;no_emotion;positive/negative;3;ludovico einaudi 💜
💯;3;1;no_emotion;positive/negative;3;💯 правда!
💣;3;1;surprise;positive/negative;9;дискотека маруся💣
😏;3;1;no_emotion;neutral/skeptical;1;яркие ремиксы 😏
💣;2;1;surprise;positive/negative;9;ретро-миксы 💣
❤;4;1;joy;positive;2;её голoc прекраcен❤
💜;4;1;no_emotion;positive/negative;3;невероятный ludovico einaudi 💜
😻;5;1;joy;positive;2;английский за 16 часов😻
😈;3;1;anger;negative;7;горячий январь 😈
🤩;7;1;joy;positive;2;когда сложно определиться, какое платье лучше 🤩
😅;5;1;smile;positive/negative;0;вот он достойный собеседник 😅
😃;8;1;smile;positive/negative;0;давайте все-таки определим, какая фигура самая идеальная 😃
🤩;9;1;joy;positive;2;на свадьбу в брючном костюме 🤩 надела бы?
😅;7;1;smile;positive/negative;0;чего только не увидишь в метро 😅
😥;9;1;sadness;negative;4;мальчик показывает отцу свои умения 😥 поддерживаете такое?
😅;8;1;smile;positive/negative;0;инструкция, как быстро попросить прощения у жены 😅
😂;5;1;smile;positive/negative;0;вот оно счастье материнства 😂
🥺;8;1;sadness;negative;4;а вы скучаете за иваном ургантом? 🥺
😅;11;1;smile;positive/negative;0;если вы вдруг не знали, как выглядят подростки на нетфликсе 😅
😱;7;1;fear;negative;5;даже страшно представить, что это? 😱
😊;7;1;smile;positive/negative;0;ой не все поймут, кто это 😊
😄;8;1;smile;positive/negative;0;да что вы знаете об искусстве? 😄
😅;9;1;smile;positive/negative;0;как намекнуть жене, что пора убраться в доме 😅
😅;9;1;smile;positive/negative;0;обряды, к которым невеста явно была не готова 😅
😰;10;1;fear;negative;5;как вообще такое может быть 😰  такая красоточка была...
😮;11;1;surprise;positive/negative;9;когда уже не знаешь, как еще запомнится зрителю, приходится раздеваться 😮
😊;8;1;smile;positive/negative;0;оле бузовой давно пора заводить своих детей 😊
😅;10;1;smile;positive/negative;0;идея подарка на свадьбу 😅 бери себе на заметку!
😊;11;1;smile;positive/negative;0;илья соболев поделился радостной новостью 😊 счастье выглядит именно так!
🥺;8;1;sadness;negative;4;а вы скучаете за иваном ургантом? 🥺
😂;9;1;smile;positive/negative;0;когда бабушка даст фору по стилю даже внуку  😂
😂;11;1;smile;positive/negative;0;только самые внимательные рассмотрят, что не так на этом фото 😂
😂;6;1;smile;positive/negative;0;главная цель в новом году 😂
😳;8;1;shame;negative;6;к таким новостям жизнь меня не готовила 😳
😅;9;1;smile;positive/negative;0;мужчины, не видитесь на идеальные фотографии в сети 😅
😂;9;1;smile;positive/negative;0;когда очень нужно украсть букет, чтобы выйти замуж 😂
😅;8;1;smile;positive/negative;0;ну волочкова как всегда в своем репертуаре 😅
😌;10;1;joy;positive;2;такая красивая семья маликовых поздравляют всех с новогодними праздниками 😌
😅;10;1;smile;positive/negative;0;когда вечер удался, а утром возвращаешься домой в метро 😅
😅;7;1;smile;positive/negative;0;валя карнавал решила похвастаться своим декольте 😅
🤪;8;1;no_emotion;positive/negative;3;а еще говорят, что сейчас мода откровенная 🤪
😅;7;1;smile;positive/negative;0;долина немного спалилась со своим фотошопом 😅
🤩;8;1;joy;positive;2;вот он идеальный подарок на новый год 🤩
🤩;6;1;joy;positive;2;самые красивые наши натуральные красотки 🤩
😅;7;1;smile;positive/negative;0;милые фото могут сделать не все 😅
😂;5;1;smile;positive/negative;0;мечта всех молодых родителей 😂
😅;9;1;smile;positive/negative;0;на одну счастливицу в этом мире стало больше 😅
😬;10;1;no_emotion;neutral/skeptical;1;девочки, нужно любить и ценить себя в первую очередь 😬
😅;10;1;smile;positive/negative;0;мои родственники ждут внуков от меня в новом году 😅
😵;5;1;surprise;negative;11;звезды которые обожают фотошоп 😵
😅;11;1;smile;positive/negative;0;страшный сон любого мастера бьюти-индустрии 😅 у кого-то бывало так?
😣;7;1;sadness;negative;4;некоторым девушкам беременность откровенно не идет 😣
😇;10;1;smile;positive/negative;0;как же ольге орловой идет беременность😇 такая милашка!
😆;5;1;smile;positive/negative;0;девушка явно пытается сбежать 😆
😃;10;1;smile;positive/negative;0;мама просто понимает, какая дочь и берегись ты зятёк 😃
😁;10;1;smile;positive/negative;0;любая работа — это труд! девушка правильно ответила 😁
😂;6;1;smile;positive/negative;0;мода, что ты делаешь, прекрати 😂
😅;7;1;smile;positive/negative;0;с такой девушкой нужно быть аккуратней 😅
😅;7;1;smile;positive/negative;0;тот момент, когда хочется посочувствовать девушке 😅
😅;9;1;smile;positive/negative;0;даже страшно представить, что это 😅 кто-то знает?
😅;5;1;smile;positive/negative;0;когда с математикой беда 😅
🤣;7;1;smile;positive/negative;0;когда у жены отличное чувство юмора 🤣
